Region,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
High-income countries,80971.592,83753.802,84581.454,81083.826,78356.939,74816.339,74551.77,73622.374,72920.136,69528.495,68450.56,70888.881,69656.752,67552.569
Middle-income countries,375559.767,392753.935,435101.894,470352.163,480850.638,474408.841,506199.997,550404.768,513806.011,499082.549,497918.42,505810.368,510031.58,507735.978
Upper-middle-income countries,202118.062,201497.713,227332.799,246017.455,237423.92,211392.038,219304.205,249564.417,207014.646,188182.783,179373.541,181643.026,186603.779,183427.258
Lower-middle-income countries,173441.705,191256.222,207769.095,224334.708,243426.718,263016.803,286895.792,300840.351,306791.365,310899.766,318544.879,324167.342,323427.801,324308.72
Low-income countries,33572.168,37651.104,41497.773,46937.275,52697.086,58674.773,66160.807,73703.511,82081.047,91264.909,99915.633,109444.155,117833.778,125746.205
No income group available,188.258,203.432,219.704,226.099,199.512,184.16,194.345,219.587,223.721,230.308,244.735,251.82,248.997,243.179
