Region,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Africa,57582.718,63851.574,71218.897,79405.504,89551.648,101369.849,114418.462,126310.494,136368.485,148663.883,163203.397,180855.457,199194.633,212112.876
Asia,309971.04,320086.675,358074.067,391526.478,396208.438,378839.374,401184.718,439409.766,406673.794,391187.055,384724.272,385179.954,379581.728,372697.319
Europe,60499.321,61675.635,59250.333,54411.333,52100.461,50597.246,50152.471,48811.214,41738.902,37288.778,36892.161,39857.076,40215.988,38847.368
Latin America and the Caribbean,38399.428,43003.97,47993.695,50980.73,53264.581,56555.251,58989.343,59612.54,59517.617,58847.758,56887.582,54566.688,53754.486,52746.134
Northern America,21934.108,23638.907,22637.492,19943.576,18494.249,18336.111,19851.198,21162.687,21932.964,21261.985,21895.287,22711.27,21679.589,21438.111
Oceania,1905.17,2105.512,2226.341,2331.742,2484.798,2386.282,2510.727,2643.539,2799.153,2856.802,2926.649,3224.779,3344.683,3436.123
